Scene,Shot,Script Content,Shot Description,Characters,Camera Work,Shot Type,Completed
1,1,"St. Louis, 2011 or 2012. The exact year has faded into legend, but the events of that night remain etched in battle rap lore.","A sweeping aerial shot over St. Louis, capturing the city skyline at dusk, transitioning to a close-up of the venue where the battle took place, bathed in soft, golden light.",,,,False
1,2,"O-Red had just faced off against Jay Huggins, a match that earned him a mere forty dollars but immeasurable street cred.","Close-up of O-Red's face, sweat glistening, eyes filled with adrenaline and defiance, as he exits the battle stage.",O-Red,,,False
2,1,The dimly lit club pulsed with heavy bass and anticipation.,"Wide shot of the club interior, crowded and vibrant, colored with neon lights, emphasizing the energy of the night.",,,,False
2,2,"O-Red, still riding the high of his battle, scanned the crowd.","Medium shot of O-Red scanning the crowd, with a focus pull to the girl he spots, highlighting her beauty.",O-Red,,,False
3,1,O-Red and Calico hatched a plan.,"Two-shot of O-Red and Calico, leaning in towards each other, their expressions serious yet playful, the club's neon lights casting colorful reflections on their faces.","O-Red, Calico",,,False
4,1,O-Red's world tilted on its axis.,"Close-up of O-Red's shocked expression as he sees Calico with the girl he was pursuing, the background blurring to emphasize his emotional turmoil.",O-Red,,,False
4,2,"By the time they arrived, the girl's attitude towards O-Red had cooled considerably.","Medium shot inside the car, showing the awkward tension between O-Red and the girl, with Calico smirking in the background.","O-Red, Calico, girl",,,False
5,1,The townhouse on Kings Highway looked unassuming from the outside.,"Exterior shot of the townhouse, subdued lighting creating a contrast between its appearance and the chaos inside.",,,,False
5,2,"Hitman Holla, riding high on his local celebrity status, decided to make his presence known.","Close-up of Hitman Holla, confidence radiating as he poses dramatically, the lighting casting shadows that accentuate his features.",Hitman Holla,,,False
6,1,O-Red watched helplessly as Calico whispered something in his girl's ear.,"Over-the-shoulder shot of O-Red watching Calico and the girl, his expression a mix of disbelief and disappointment.","O-Red, Calico, girl",,,False
6,2,"Calico answered, slightly out of breath and grinning like the cat that got the cream.","Close-up of Calico's smug face as he opens the door, the light illuminating his confident demeanor.",Calico,,,False
7,1,What happened next is a blur of action and reaction.,"Fast-paced montage of chaotic reactions as the group bursts into the room, faces filled with shock and disbelief.","O-Red, Calico, girl, others",,,False
7,2,"The girl, mortified, began to cry.","Close-up of the girl's face, tears streaming down, her expression a mix of humiliation and fear.",girl,,,False
8,1,"O-Red, feeling a potent mix of vindication and regret, followed the girl outside.","Medium shot of O-Red following the girl outside, the tension palpable as he reaches for her arm.","O-Red, girl",,,False
8,2,"As the night came to a chaotic close, the battlers dispersed.","Wide shot of the chaotic scene outside the townhouse, battlers leaving in different directions, the mood a mix of relief and tension.",,,,False
