Scene,Shot,Script Content,Shot Description,Characters,Camera Work,Shot Type,Completed
1,1,"St. Louis, 2011 or 2012. The exact year has faded into legend, but the events of that night remain etched in battle rap lore.","A sweeping aerial shot of St. Louis at dusk, highlighting the iconic skyline. The camera slowly descends, setting the tone of nostalgia and legend.",,,,False
1,2,"O-Red had just faced off against Jay Huggins, a match that earned him a mere forty dollars but immeasurable street cred.","Close-up of O-Red's face, his expression a mix of satisfaction and tension, sweat glistening in the low light. The audience's blurred faces in the background embody the chaotic energy of the battle.",O-Red,,,False
2,1,The dimly lit club pulsed with heavy bass and anticipation.,"Wide shot of the club interior, showcasing the vibrant energy of the crowd. Strobe lights flash intermittently, casting dramatic shadows and creating an intense atmosphere.",,,,False
2,2,His eyes landed on a curvaceous chocolate-skinned beauty that made his heart skip a beat.,"Close-up of O-Red's eyes as they widen in surprise and desire, with a shallow depth of field focusing on the woman in the background, creating an ethereal quality.",O-Red,,,False
3,1,"O-Red watched, dumbfounded, as Calico smoothly opened the car door for *his* girl.","Medium shot of Calico opening the car door, with O-Red in the foreground, his expression a mix of shock and disbelief. The lighting is low, enhancing the tension.","O-Red, Calico",,,False
4,1,"The townhouse on Kings Highway looked unassuming from the outside, but inside, it was a powder keg waiting to explode.","Exterior shot of the townhouse, with ominous shadows cast by the porch light. The camera slowly zooms in, building tension.",,,,False
4,2,"Hitman Holla, riding high on his local celebrity status, decided to make his presence known.","Close-up on Hitman Holla as he boasts, his face illuminated by a harsh light, reflecting his arrogance. The background is dark, isolating him.",Hitman Holla,,,False
5,1,"As the night wore on, O-Red watched helplessly as Calico whispered something in his girl's ear.","Over-the-shoulder shot from O-Red's perspective, capturing Calico and the girl in the foreground, with O-Red's silhouette in the background, enhancing his feelings of exclusion.","O-Red, Calico, girl",,,False
5,2,"Calico answered, slightly out of breath and grinning like the cat that got the cream.","Medium shot of Calico at the door, his grin wide and mischievous, showcasing his triumph. The lighting is warm, contrasting the tension of the previous moments.",Calico,,,False
6,1,"O-Red, feeling a potent mix of vindication and regret, followed the girl outside to smooth things over.","Wide shot of O-Red and the girl outside the townhouse, the moonlight casting long shadows, symbolizing his internal conflict.","O-Red, girl",,,False
6,2,"Outside, O-Red tried to console the distraught girl.","Close-up of O-Red's face, showing genuine concern, with the girl partially in the frame, her expression hidden from the viewer, creating suspense.","O-Red, girl",,,False
