Scene,Shot,Script Content,Shot Description,Characters,Camera Work,Shot Type,Setting,Completed
1,1,"February 2015, Chicago. The city was in the grip of one of its coldest winters in years, with temperatures plunging well below freezing.","A wide shot of the snowy Chicago streets, illuminated only by flickering streetlights, with heavy snowflakes falling against a darkened sky.",,"Static shot, slow zoom in on the street to enhance the isolation of the setting.",Static Shot,"Chicago, February 2015, night time.",False
2,1,K-Shine stood victorious after his battle in Chicago.,"Close-up of K-Shine's face, sweaty and exhilarated, with a slight smile as he basks in his victory, the crowd blurred in the background.",K-Shine,Dolly in to create intimacy and focus on K-Shine's expression.,Dolly Shot,"Battle stage in Chicago, night.",False
2,2,"Big T, the Chicago giant, approached K-Shine. 'Yo, Shine, there’s a kickback tonight. We outside, what’s up?'","Medium shot of Big T approaching K-Shine, the two framed against the backdrop of the cheering crowd, capturing the camaraderie.","K-Shine, Big T",Handheld camera to emphasize the energy and movement of the scene.,Handheld Shot,"Battle stage in Chicago, night.",False
3,1,"K-Shine, still buzzing from the win, couldn’t say no.","Close-up on K-Shine's face as he contemplates the invitation, a mix of excitement and caution evident in his expression.",K-Shine,Slow push-in to capture the internal conflict.,Unspecified Shot Type,"Outside the venue, night.",False
3,2,"Big T and K-Shine arrived at a massive house, bigger than anything he expected.","Wide shot of the sprawling house, illuminated by party lights, contrasting the cold, dark winter outside.","K-Shine, Big T",Crane shot from above to establish the grandeur of the setting.,Crane Shot,"Chicago, night.",False
4,1,"As soon as they walked in, K-Shine noticed something else: everyone was armed.","Over-the-shoulder shot of K-Shine as he surveys the room, revealing multiple party-goers casually holding firearms.",K-Shine,"Slow pan across the room to capture the atmosphere, with a slight focus on the weapons.",Unspecified Shot Type,"Inside the house, night.",False
4,2,The energy in the room shifted.,"Medium shot of the crowd, energy palpable, with people laughing and engaging with K-Shine.","K-Shine, Big T, Party-goers",Handheld to create a sense of immediacy and immersion in the lively atmosphere.,Handheld Shot,"Inside the house, night.",False
5,1,"But this was a party, and soon the tension melted away.","Wide shot of the dance battle kicking off, K-Shine at the center, surrounded by cheering party-goers.","K-Shine, Party-goers",360-degree pan to capture the excitement and energy of the dance battle.,Unspecified Shot Type,"Inside the house, night.",False
5,2,K-Shine found himself in the middle of it.,"Close-up of K-Shine's feet dancing, sweat glistening, as the crowd chants his name.",K-Shine,Low-angle shot to emphasize K-Shine's movements and the crowd's energy.,Low Angle Shot,"Inside the house, night.",False
6,1,"At some point, he realized he was too drunk. Way too drunk.","Extreme close-up of K-Shine's face, eyes glassy, capturing the moment of realization and concern.",K-Shine,"Tight close-up, with a slight shake to represent his inebriation.",Close-up,"Inside the house, night.",False
